iter	MultiClass
0	1.783283347
1	1.774399334
2	1.765807675
3	1.757090149
4	1.74839616
5	1.741425283
6	1.733644317
7	1.726110627
8	1.717964539
9	1.710606767
10	1.703281707
11	1.696301162
12	1.689465262
13	1.682621059
14	1.67580402
15	1.669943586
16	1.663809239
17	1.65790482
18	1.65221225
19	1.646682992
20	1.640890062
21	1.635357798
22	1.62984302
23	1.625130279
24	1.619939084
25	1.614374765
26	1.609382667
27	1.603928654
28	1.598990193
29	1.593878831
30	1.589125141
31	1.584492149
32	1.579465404
33	1.574900777
34	1.57043649
35	1.566760166
36	1.562619918
37	1.558371147
38	1.5543289
39	1.550484667
40	1.54622492
41	1.54246212
42	1.538529009
43	1.53454816
44	1.530576541
45	1.527488993
46	1.523949466
47	1.520713355
48	1.51711436
49	1.513288968
50	1.509838805
51	1.506359279
52	1.502972288
53	1.499483262
54	1.496694989
55	1.493520332
56	1.490201467
57	1.487210374
58	1.484422466
59	1.481328209
60	1.477941336
61	1.475072464
62	1.471868461
63	1.469048673
64	1.466363595
65	1.463394566
66	1.460281519
67	1.457581707
68	1.454841248
69	1.45199707
70	1.44902533
71	1.44610389
72	1.443423813
73	1.440736734
74	1.438103628
75	1.435709623
76	1.433091885
77	1.430572392
78	1.428219986
79	1.42588203
80	1.423456601
81	1.421268618
82	1.419242788
83	1.417358625
84	1.415167579
85	1.41299964
86	1.410923379
87	1.408775578
88	1.406379822
89	1.404458351
90	1.402157869
91	1.400060443
92	1.397903176
93	1.395787067
94	1.393781425
95	1.391504733
96	1.389565565
97	1.387321931
98	1.385002229
99	1.382928138
100	1.380856043
101	1.379042859
102	1.377297312
103	1.375950049
104	1.374599238
105	1.372522706
106	1.370816417
107	1.369095771
108	1.367362156
109	1.365542267
110	1.363955321
111	1.361869763
112	1.359981539
113	1.358154744
114	1.35629416
115	1.354469439
116	1.352919552
117	1.351064546
118	1.349653747
119	1.347823062
120	1.345945124
121	1.344307038
122	1.342448288
123	1.341166697
124	1.339485878
125	1.338227818
126	1.336895484
127	1.335273681
128	1.333940078
129	1.332376149
130	1.330952804
131	1.329488477
132	1.327983558
133	1.326777592
134	1.325532106
135	1.324325263
136	1.32300775
137	1.321305641
138	1.319987818
139	1.318629327
140	1.317007219
141	1.315472578
142	1.314223981
143	1.312972591
144	1.311546252
145	1.310176416
146	1.309057196
147	1.307842123
148	1.306606395
149	1.305514928
150	1.304324876
151	1.30325241
152	1.30190156
153	1.300745361
154	1.299334735
155	1.298304481
156	1.29716578
157	1.296112744
158	1.294834427
159	1.293774301
160	1.292733315
161	1.291479887
162	1.2902961
163	1.289356864
164	1.2882897
165	1.287172774
166	1.285627295
167	1.284519442
168	1.283495998
169	1.282439916
170	1.281446699
171	1.28023066
172	1.279462776
173	1.278256182
174	1.277333652
175	1.276205121
176	1.275079677
177	1.273811524
178	1.272782027
179	1.272083412
180	1.27087326
181	1.269947239
182	1.268820313
183	1.267707228
184	1.266635598
185	1.265740204
186	1.264706384
187	1.263613612
188	1.262653593
189	1.261627747
190	1.260436426
191	1.259485295
192	1.258473025
193	1.257667724
194	1.256976856
195	1.256156056
196	1.255220294
197	1.254449985
198	1.253635003
199	1.252711036
200	1.251873901
201	1.250892748
202	1.249924933
203	1.249317173
204	1.248422586
205	1.247702584
206	1.247053193
207	1.24623429
208	1.245413713
209	1.24450411
210	1.243811483
211	1.242718274
212	1.241847079
213	1.241038124
214	1.240243156
215	1.239329145
216	1.238476527
217	1.2376332
218	1.236817334
219	1.23606781
220	1.235292742
221	1.234618253
222	1.23374099
223	1.232990662
224	1.232133187
225	1.231567906
226	1.230888842
227	1.230184982
228	1.229219473
229	1.228345561
230	1.227644535
231	1.226932837
232	1.226188862
233	1.225394046
234	1.224724227
235	1.224103677
236	1.223295757
237	1.22249706
238	1.221839815
239	1.221089933
240	1.220336957
241	1.219681823
242	1.219068073
243	1.218504574
244	1.217898844
245	1.21713386
246	1.216563695
247	1.215955087
248	1.215311539
249	1.214533704
250	1.213732754
251	1.213286879
252	1.212534042
253	1.211960521
254	1.211225147
255	1.210602139
256	1.20987958
257	1.20906717
258	1.208345067
259	1.207485615
260	1.206735687
261	1.20620859
262	1.205541151
263	1.20488583
264	1.204233073
265	1.203458974
266	1.202904771
267	1.202322576
268	1.20181581
269	1.201161992
270	1.200600823
271	1.1998964
272	1.199328004
273	1.198723416
274	1.198188016
275	1.197628517
276	1.196891266
277	1.196137815
278	1.195619841
279	1.194940869
280	1.194338456
281	1.193705595
282	1.193184056
283	1.192627491
284	1.191973211
285	1.191495772
286	1.190679013
287	1.19008583
288	1.189440002
289	1.188926185
290	1.188345034
291	1.187702705
292	1.187060652
293	1.186538423
294	1.185934951
295	1.185253988
296	1.184724879
297	1.184025699
298	1.183467002
299	1.182905519
300	1.182337909
301	1.181890823
302	1.18139672
303	1.180788228
304	1.180203578
305	1.179812639
306	1.179285046
307	1.17866554
308	1.178068866
309	1.177618959
