iter	Passed	Remaining
0	15	31211
1	25	25425
2	34	22787
3	43	21501
4	53	21287
5	62	20764
6	71	20244
7	80	19950
8	89	19726
9	98	19528
10	106	19355
11	115	19145
12	124	19063
13	133	18916
14	143	18987
15	153	19038
16	162	18980
17	171	18904
18	180	18879
19	190	18852
20	199	18844
21	208	18798
22	217	18719
23	226	18629
24	234	18572
25	244	18535
26	252	18474
27	262	18517
28	272	18506
29	280	18443
30	289	18413
31	298	18373
32	307	18318
33	315	18265
34	324	18223
35	333	18181
36	342	18160
37	350	18119
38	359	18076
39	367	18033
40	376	18014
41	385	17999
42	394	17965
43	403	17961
44	412	17944
45	421	17913
46	429	17875
47	438	17848
48	447	17814
49	455	17778
50	464	17744
51	472	17709
52	482	17716
53	491	17711
54	500	17692
55	508	17668
56	517	17640
57	526	17632
58	535	17610
59	543	17591
60	552	17576
61	560	17544
62	569	17531
63	578	17518
64	587	17510
65	596	17495
66	605	17488
67	614	17465
68	622	17439
69	631	17412
70	639	17391
71	648	17373
72	657	17362
73	665	17340
74	674	17320
75	683	17306
76	691	17288
77	700	17271
78	709	17252
79	717	17232
80	726	17211
81	735	17202
82	743	17182
83	752	17167
84	760	17151
85	769	17132
86	778	17118
87	786	17104
88	795	17098
89	805	17094
90	813	17078
91	822	17056
92	830	17038
93	839	17021
94	847	17009
95	856	16997
96	864	16975
97	873	16958
98	882	16946
99	891	16940
100	899	16925
101	908	16905
102	916	16893
103	926	16891
104	935	16887
105	943	16873
106	952	16857
107	961	16852
108	970	16845
109	979	16839
110	988	16827
111	996	16812
112	1005	16798
113	1014	16788
114	1023	16779
115	1032	16779
116	1041	16778
117	1050	16765
118	1059	16753
119	1067	16738
120	1076	16728
121	1085	16714
122	1094	16705
123	1102	16692
124	1111	16682
125	1121	16685
126	1132	16706
127	1141	16709
128	1151	16710
129	1161	16715
130	1171	16717
131	1180	16710
132	1189	16708
133	1199	16712
134	1209	16712
135	1218	16705
136	1226	16690
137	1235	16683
138	1246	16704
139	1257	16713
140	1265	16699
141	1275	16699
142	1284	16690
143	1294	16688
144	1303	16682
145	1312	16674
146	1321	16670
147	1331	16670
148	1340	16663
149	1350	16667
150	1359	16660
151	1369	16654
152	1378	16645
153	1387	16636
154	1396	16633
155	1405	16624
156	1414	16616
157	1424	16611
158	1433	16608
159	1443	16612
160	1453	16610
161	1462	16604
162	1472	16604
163	1483	16619
164	1493	16621
165	1504	16626
166	1514	16636
167	1525	16644
168	1535	16649
169	1546	16655
170	1557	16665
171	1568	16680
172	1578	16680
173	1588	16680
174	1601	16710
175	1612	16718
176	1621	16710
177	1632	16715
178	1642	16714
179	1652	16716
180	1662	16719
181	1673	16727
182	1683	16725
183	1693	16724
184	1703	16726
185	1713	16722
186	1723	16722
187	1734	16729
188	1744	16724
189	1755	16727
190	1766	16737
191	1775	16731
192	1786	16737
193	1795	16728
194	1805	16721
195	1815	16716
196	1824	16709
197	1834	16701
198	1844	16702
199	1853	16692
200	1863	16688
201	1872	16677
202	1881	16665
203	1891	16658
204	1900	16646
205	1910	16645
206	1919	16638
207	1929	16631
208	1939	16631
209	1949	16627
210	1959	16622
211	1970	16628
212	1980	16622
213	1989	16616
214	1999	16612
215	2009	16604
216	2018	16597
217	2028	16590
218	2037	16581
219	2047	16572
220	2055	16559
221	2064	16546
222	2074	16536
223	2083	16526
224	2092	16516
225	2101	16501
226	2110	16491
227	2119	16478
228	2128	16471
229	2139	16472
230	2149	16472
231	2158	16460
232	2167	16450
233	2177	16444
234	2187	16439
235	2197	16431
236	2206	16423
237	2215	16413
238	2224	16401
239	2233	16391
240	2243	16383
241	2252	16369
242	2260	16356
243	2270	16346
244	2279	16334
245	2288	16323
246	2296	16310
247	2305	16298
248	2315	16289
249	2324	16280
250	2334	16273
251	2339	16235
252	2348	16225
253	2357	16217
254	2367	16207
255	2376	16198
256	2385	16187
257	2394	16176
258	2405	16175
259	2414	16169
260	2424	16160
261	2432	16148
262	2442	16137
263	2450	16124
264	2459	16112
265	2468	16104
266	2479	16099
267	2487	16086
268	2496	16074
269	2507	16076
270	2516	16066
271	2526	16058
272	2535	16048
273	2544	16040
274	2553	16029
275	2562	16018
276	2573	16019
277	2583	16010
278	2592	16001
279	2602	15994
280	2612	15989
281	2621	15977
282	2630	15967
283	2640	15961
284	2649	15953
285	2658	15941
286	2667	15931
287	2677	15927
288	2686	15916
289	2695	15904
290	2705	15897
291	2714	15887
292	2724	15880
293	2733	15872
294	2743	15866
295	2752	15857
296	2762	15848
297	2771	15839
298	2781	15830
299	2789	15818
300	2800	15814
301	2808	15802
302	2817	15791
303	2827	15782
304	2837	15775
305	2846	15765
306	2855	15753
307	2864	15742
308	2873	15733
309	2882	15722
310	2891	15712
311	2901	15708
312	2911	15699
313	2920	15689
314	2930	15686
315	2942	15689
316	2953	15688
317	2962	15681
318	2972	15672
319	2981	15664
320	2990	15653
321	2999	15640
322	3008	15630
323	3018	15624
324	3027	15613
325	3038	15609
326	3049	15609
327	3058	15598
328	3066	15585
329	3075	15575
330	3084	15564
331	3093	15552
332	3103	15544
333	3112	15536
334	3122	15528
335	3131	15519
336	3140	15508
337	3150	15500
338	3159	15489
339	3169	15483
340	3179	15475
341	3187	15464
342	3197	15454
343	3206	15446
344	3216	15436
345	3230	15453
346	3239	15443
347	3248	15431
348	3258	15423
349	3267	15411
350	3276	15401
351	3285	15390
352	3293	15377
353	3302	15365
354	3311	15354
355	3320	15342
356	3328	15328
357	3337	15318
358	3346	15304
359	3354	15292
360	3363	15282
361	3372	15269
362	3381	15258
363	3390	15247
364	3399	15235
365	3407	15221
366	3417	15213
367	3425	15201
368	3434	15190
369	3443	15177
370	3451	15163
371	3460	15151
372	3468	15139
373	3478	15133
374	3489	15129
375	3498	15118
376	3507	15107
377	3515	15094
378	3524	15083
379	3533	15072
380	3541	15058
381	3550	15047
382	3559	15035
383	3567	15023
384	3576	15012
385	3585	15000
386	3594	14992
387	3604	14983
388	3612	14970
389	3621	14958
390	3629	14945
391	3637	14932
392	3646	14919
393	3655	14909
394	3663	14897
395	3672	14883
396	3680	14871
397	3689	14860
398	3698	14848
399	3707	14837
400	3715	14826
401	3724	14814
402	3733	14803
403	3741	14790
404	3750	14780
405	3759	14768
406	3767	14756
407	3776	14745
408	3785	14733
409	3794	14724
410	3802	14711
411	3811	14700
412	3819	14687
413	3828	14676
414	3837	14664
415	3845	14651
416	3853	14639
417	3862	14629
418	3871	14617
419	3879	14604
420	3888	14593
421	3897	14583
422	3906	14574
423	3916	14565
424	3924	14554
425	3933	14543
426	3942	14533
427	3951	14522
428	3959	14510
429	3969	14503
430	3978	14491
431	3986	14480
432	3996	14471
433	4004	14460
434	4014	14451
435	4023	14441
436	4032	14430
437	4040	14418
438	4049	14407
439	4058	14397
440	4066	14385
441	4075	14374
442	4083	14362
443	4092	14352
444	4101	14341
445	4110	14329
446	4119	14320
447	4128	14309
448	4136	14299
449	4145	14288
450	4154	14277
451	4162	14266
452	4171	14256
453	4180	14245
454	4189	14234
455	4197	14223
456	4206	14211
457	4214	14200
458	4224	14190
459	4232	14180
460	4241	14169
461	4250	14158
462	4259	14148
463	4267	14136
464	4276	14125
465	4284	14112
466	4293	14102
467	4302	14092
468	4310	14080
469	4319	14069
470	4327	14058
471	4336	14048
472	4345	14038
473	4354	14027
474	4362	14016
475	4371	14005
476	4380	13995
477	4389	13984
478	4398	13974
479	4407	13965
480	4415	13954
481	4424	13943
482	4432	13931
483	4441	13920
484	4450	13911
485	4459	13900
486	4467	13889
487	4477	13880
488	4485	13870
489	4495	13861
490	4503	13850
491	4512	13841
492	4521	13830
493	4529	13819
494	4539	13809
495	4547	13798
496	4556	13789
497	4565	13779
498	4574	13769
499	4583	13758
500	4591	13747
501	4600	13737
502	4609	13728
503	4618	13718
504	4627	13707
505	4635	13695
506	4643	13684
507	4652	13674
508	4661	13663
509	4670	13652
510	4678	13643
511	4687	13632
512	4696	13622
513	4705	13612
514	4713	13601
515	4722	13590
516	4730	13579
517	4739	13570
518	4748	13559
519	4757	13549
520	4766	13539
521	4774	13527
522	4783	13517
523	4791	13505
524	4800	13496
525	4809	13485
526	4817	13475
527	4826	13464
528	4834	13453
529	4844	13444
530	4852	13433
531	4861	13424
532	4870	13413
533	4878	13402
534	4887	13393
535	4896	13383
536	4905	13373
537	4914	13363
538	4923	13354
539	4932	13345
540	4941	13334
541	4950	13325
542	4958	13314
543	4967	13304
544	4976	13294
545	4984	13284
546	4993	13272
547	5003	13266
548	5012	13256
549	5020	13245
550	5029	13234
551	5037	13223
552	5046	13213
553	5055	13203
554	5063	13192
555	5072	13183
556	5081	13172
557	5090	13163
558	5098	13152
559	5107	13142
560	5115	13131
561	5124	13121
562	5133	13111
563	5142	13102
564	5151	13092
565	5159	13082
566	5168	13072
567	5178	13063
568	5187	13056
569	5197	13047
570	5206	13039
571	5216	13031
572	5225	13021
573	5233	13011
574	5242	13002
575	5251	12991
576	5259	12981
577	5268	12971
578	5277	12961
579	5286	12951
580	5295	12941
581	5303	12930
582	5312	12920
583	5321	12911
584	5329	12901
585	5338	12891
586	5347	12881
587	5356	12871
588	5364	12860
589	5373	12851
590	5382	12841
591	5391	12832
592	5400	12821
593	5408	12811
594	5417	12800
595	5425	12790
596	5434	12780
597	5442	12769
598	5451	12760
599	5460	12749
600	5468	12738
601	5479	12733
602	5488	12723
603	5496	12713
604	5505	12703
605	5514	12693
606	5522	12683
607	5531	12673
608	5540	12663
609	5549	12654
610	5558	12644
611	5567	12635
612	5576	12625
613	5585	12616
614	5593	12606
615	5603	12598
616	5612	12588
617	5620	12578
618	5629	12568
619	5637	12557
620	5646	12548
621	5655	12538
622	5663	12527
623	5672	12517
624	5681	12507
625	5690	12498
626	5698	12488
627	5707	12479
628	5716	12469
629	5725	12459
